chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
1,9635081,9635465,385,9635248,22,7.73623,3.5676,5.31441,SRR3729606_peak_32
1,9652650,9653127,478,9652974,19,5.44526,2.91999,3.25365,SRR3729606_peak_33
1,9708665,9709320,656,9708837,19,5.97816,3.13379,3.72594,SRR3729606_peak_34
1,9742714,9743138,425,9742961,21,7.19313,3.44717,4.81395,SRR3729606_peak_35
1,9770957,9771328,372,9771116,23,8.48327,3.76055,5.98143,SRR3729606_peak_36
1,9789174,9789632,459,9789308,24,7.67479,3.37136,5.25835,SRR3729606_peak_37
1,9801701,9802072,372,9801946,19,4.52962,2.56647,2.46109,SRR3729606_peak_38
1,9814482,9815630,1149,9814732,26,10.217,4.10755,7.57425,SRR3729606_peak_39
1,9816525,9817355,831,9816733,32,10.0245,3.52833,7.39548,SRR3729606_peak_40
1,9817871,9819444,1574,9818928,62,38.4699,8.285,34.3102,SRR3729606_peak_41
1,9868966,9869635,670,9869282,30,11.904,4.28963,9.12811,SRR3729606_peak_42
1,9892898,9893350,453,9892993,23,8.48327,3.76055,5.98143,SRR3729606_peak_43
1,9977197,9977723,527,9977489,24,6.7901,3.06388,4.45623,SRR3729606_peak_44
1,10001985,10002384,400,10002254,22,5.88715,2.88167,3.65509,SRR3729606_peak_45
1,10013612,10014760,1149,10014118,72,47.0312,9.14617,42.5886,SRR3729606_peak_46
1,10038178,10038802,625,10038491,32,14.275,4.88472,11.3279,SRR3729606_peak_47
1,10058498,10059790,1293,10059388,44,25.4687,7.05102,21.8573,SRR3729606_peak_48
1,10107765,10108722,958,10108288,48,23.4374,5.86205,19.9343,SRR3729606_peak_49
1,10204367,10205015,649,10204720,20,6.22947,3.15284,3.95461,SRR3729606_peak_50
1,10212835,10213206,372,10213080,22,7.18975,3.35798,4.81395,SRR3729606_peak_51
1,10303348,10304134,787,10303675,28,11.6154,4.40241,8.85983,SRR3729606_peak_52
1,11063390,11064108,719,11063876,26,9.18814,3.73613,6.62406,SRR3729606_peak_53
1,13241352,13241945,594,13241722,24,9.15467,3.91724,6.59351,SRR3729606_peak_54
1,13311207,13312258,1052,13311789,36,13.5248,4.23523,10.6208,SRR3729606_peak_55
1,13371604,13372026,423,13371799,28,8.51527,3.35223,6.01297,SRR3729606_peak_56
1,13374991,13375900,910,13375286,25,7.79824,3.33642,5.37141,SRR3729606_peak_57
1,13376185,13376556,372,13376448,19,5.24623,2.8417,3.0886,SRR3729606_peak_58
1,13382509,13383201,693,13382839,30,10.3985,3.79429,7.7411,SRR3729606_peak_59
1,13384427,13384838,412,13384614,27,8.76741,3.50812,6.24569,SRR3729606_peak_60
1,13392076,13392516,441,13392191,22,7.18975,3.35798,4.81395,SRR3729606_peak_61
1,13394036,13394531,496,13394230,21,5.9385,2.96679,3.70264,SRR3729606_peak_62
1,13442210,13443118,909,13442795,34,16.4844,5.40794,13.3858,SRR3729606_peak_63
1,13444281,13445592,1312,13444944,32,14.8806,5.09891,11.8887,SRR3729606_peak_64
1,13496657,13497217,561,13496862,37,19.2157,5.9542,15.9438,SRR3729606_peak_65
1,13537269,13537672,404,13537436,30,8.89661,3.33251,6.36615,SRR3729606_peak_66
1,13631800,13632221,422,13632008,22,6.86541,3.23637,4.5244,SRR3729606_peak_67
1,13633215,13633967,753,13633831,20,5.56987,2.89771,3.36807,SRR3729606_peak_68
1,13644947,13645569,623,13645198,27,9.56057,3.77592,6.9716,SRR3729606_peak_69
1,13646346,13646794,449,13646630,21,6.50689,3.18048,4.20865,SRR3729606_peak_70
1,13657496,13657932,437,13657633,23,4.56795,2.38638,2.49257,SRR3729606_peak_71
1,13658800,13659343,544,13659190,19,5.84256,3.0788,3.61716,SRR3729606_peak_72
1,13659865,13660846,982,13660075,28,12.0012,4.54399,9.20973,SRR3729606_peak_73
1,13693542,13694274,733,13693908,22,7.82919,3.60386,5.38806,SRR3729606_peak_74
1,13694362,13694796,435,13694698,26,5.96523,2.68468,3.72594,SRR3729606_peak_75
1,13697080,13697493,414,13697308,23,8.23935,3.66682,5.76809,SRR3729606_peak_76
1,13698130,13698947,818,13698389,23,8.4487,3.74719,5.95992,SRR3729606_peak_77
1,13700544,13701016,473,13700760,21,6.36325,3.12587,4.07863,SRR3729606_peak_78
1,13701338,13701785,448,13701550,28,8.18593,3.24933,5.71693,SRR3729606_peak_79
1,13701874,13702245,372,13702073,20,6.11638,3.10846,3.85299,SRR3729606_peak_80
1,13702571,13703064,494,13702697,23,7.11256,3.24874,4.75198,SRR3729606_peak_81
1,13709209,13710777,1569,13709529,25,9.02567,3.77022,6.48366,SRR3729606_peak_82
1,13712525,13714030,1506,13713519,22,7.82919,3.60386,5.38806,SRR3729606_peak_83
1,13714091,13715169,1079,13715101,23,8.48327,3.76055,5.98143,SRR3729606_peak_84
1,13716274,13718540,2267,13716628,38,14.5953,4.36979,11.6199,SRR3729606_peak_85
1,13719407,13720094,688,13719736,30,13.5136,4.85737,10.611,SRR3729606_peak_86
1,13726333,13727003,671,13726664,28,10.7123,4.08065,8.02555,SRR3729606_peak_87
1,13727689,13728472,784,13728153,28,11.0665,4.20525,8.35642,SRR3729606_peak_88
1,13728553,13729395,843,13728766,26,9.47069,3.8363,6.88843,SRR3729606_peak_89
1,13729454,13730661,1208,13730176,35,17.5259,5.64082,14.3556,SRR3729606_peak_90
1,13738614,13740182,1569,13739163,41,18.2506,5.14065,15.0434,SRR3729606_peak_91
1,13769542,13770363,822,13770144,26,10.0708,4.05365,7.4366,SRR3729606_peak_92
1,13785965,13786734,770,13786015,19,5.05565,2.76751,2.91613,SRR3729606_peak_93
1,13854725,13855193,469,13855024,28,12.0012,4.54399,9.20973,SRR3729606_peak_94
1,15678249,15678795,547,15678468,40,21.1765,6.19769,17.7918,SRR3729606_peak_95
1,15685870,15686386,517,15686112,26,10.5469,4.23061,7.86982,SRR3729606_peak_96
1,15875831,15876956,1126,15876174,42,23.6313,6.73764,20.1127,SRR3729606_peak_97
1,15887240,15887711,472,15887419,22,6.72032,3.18263,4.39049,SRR3729606_peak_98
1,15900952,15901323,372,15901246,20,6.57585,3.29048,4.25904,SRR3729606_peak_99
1,15903529,15904037,509,15903751,25,8.04614,3.42192,5.58921,SRR3729606_peak_100
1,15972804,15973246,443,15973143,21,7.07172,3.39927,4.71467,SRR3729606_peak_101
1,16174219,16175438,1220,16174963,58,38.9265,9.11623,34.7532,SRR3729606_peak_102
1,16175590,16176904,1315,16175819,33,15.8832,5.32744,12.8208,SRR3729606_peak_103
1,16182147,16182542,396,16182218,19,5.65327,3.00271,3.44355,SRR3729606_peak_104
1,16242496,16242875,380,16242744,19,3.6486,2.24092,1.71826,SRR3729606_peak_105
1,16298440,16299278,839,16298689,32,11.96,4.11512,9.18082,SRR3729606_peak_106
1,16689161,16689608,448,16689377,27,10.1409,3.97838,7.50173,SRR3729606_peak_107
1,16726420,16728165,1746,16727470,46,24.7265,6.50364,21.1539,SRR3729606_peak_108
1,16735274,16736183,910,16735674,42,21.2138,5.93341,17.8282,SRR3729606_peak_109
1,16758214,16759171,958,16758843,37,19.2157,5.9542,15.9438,SRR3729606_peak_110
1,17167632,17168033,402,17167834,22,7.82919,3.60386,5.38806,SRR3729606_peak_111
1,17233838,17234265,428,17234193,20,5.39604,2.83194,3.21245,SRR3729606_peak_112
1,18176700,18177091,392,18176864,25,8.71664,3.65851,6.1994,SRR3729606_peak_113
1,19275971,19276552,582,19276274,31,14.2904,5.01406,11.3331,SRR3729606_peak_114
1,20140003,20140590,588,20140470,22,7.82919,3.60386,5.38806,SRR3729606_peak_115
1,20201974,20202831,858,20202563,43,24.5451,6.89433,20.9809,SRR3729606_peak_116
1,20687830,20688432,603,20688070,28,12.0012,4.54399,9.20973,SRR3729606_peak_117
1,20890246,20891092,847,20890726,35,17.5259,5.64082,14.3556,SRR3729606_peak_118
1,20960598,20961177,580,20960952,28,11.7979,4.46908,9.03125,SRR3729606_peak_119
1,21129724,21130212,489,21130008,26,8.15944,3.38283,5.69432,SRR3729606_peak_120
1,21139933,21140721,789,21140416,35,16.1602,5.16771,13.0806,SRR3729606_peak_121
1,21149620,21150717,1098,21149902,27,9.56057,3.77592,6.9716,SRR3729606_peak_122
1,21195139,21195728,590,21195381,37,18.6136,5.7442,15.3809,SRR3729606_peak_123
1,21202535,21203070,536,21202784,35,17.5259,5.64082,14.3556,SRR3729606_peak_124
1,21231996,21232433,438,21232246,29,11.6515,4.30643,8.89191,SRR3729606_peak_125
1,21288701,21289354,654,21289065,34,12.4675,4.09474,9.64793,SRR3729606_peak_126
1,21298996,21299467,472,21299221,31,14.2904,5.01406,11.3331,SRR3729606_peak_127
1,21301859,21302896,1038,21302136,25,9.84275,4.07392,7.22448,SRR3729606_peak_128
1,21310314,21311156,843,21310831,32,13.9884,4.78528,11.0602,SRR3729606_peak_129
1,21312147,21313185,1039,21312763,25,7.56686,3.25754,5.15711,SRR3729606_peak_130
1,21313824,21317392,3569,21314685,37,14.8854,4.54608,11.8923,SRR3729606_peak_131
1,21317839,21318637,799,21318174,21,5.73872,2.89318,3.52099,SRR3729606_peak_132
1,21318831,21319216,386,21319056,19,5.97816,3.13379,3.72594,SRR3729606_peak_133
1,21319414,21320555,1142,21319954,28,11.4817,4.35392,8.73516,SRR3729606_peak_134
1,21320718,21321250,533,21320976,20,4.8554,2.63109,2.7359,SRR3729606_peak_135
1,21322966,21323925,960,21323493,30,12.2394,4.40464,9.43433,SRR3729606_peak_136
1,21324933,21325550,618,21325239,20,6.57585,3.29048,4.25904,SRR3729606_peak_137
1,21327565,21328205,641,21327696,20,6.57585,3.29048,4.25904,SRR3729606_peak_138
1,21328444,21329358,915,21328746,34,14.8374,4.84313,11.8526,SRR3729606_peak_139
1,21329416,21337031,7616,21332720,49,25.254,6.2645,21.659,SRR3729606_peak_140
1,21337294,21337665,372,21337517,19,5.97816,3.13379,3.72594,SRR3729606_peak_141
1,21338371,21338759,389,21338493,25,9.84275,4.07392,7.22448,SRR3729606_peak_142
1,21374522,21375283,762,21374969,21,7.19313,3.44717,4.81395,SRR3729606_peak_143
1,21393996,21395049,1054,21394711,32,14.8806,5.09891,11.8887,SRR3729606_peak_144
1,22186883,22187353,471,22187110,21,7.19313,3.44717,4.81395,SRR3729606_peak_145
1,22205775,22206354,580,22206095,27,11.2666,4.3873,8.53352,SRR3729606_peak_146
1,22385479,22385866,388,22385713,18,5.40094,2.9771,3.21245,SRR3729606_peak_147
1,22385957,22386383,427,22386282,24,9.15467,3.91724,6.59351,SRR3729606_peak_148
1,23035690,23036311,622,23036047,22,7.82919,3.60386,5.38806,SRR3729606_peak_149
1,23201737,23202128,392,23201880,23,5.85004,2.80782,3.62303,SRR3729606_peak_150
1,23202218,23203049,832,23202707,33,12.3974,4.16148,9.58173,SRR3729606_peak_151
1,23226641,23227387,747,23226855,31,12.618,4.42801,9.78907,SRR3729606_peak_152
1,23276551,23277590,1040,23276969,22,7.82919,3.60386,5.38806,SRR3729606_peak_153
1,23293240,23293887,648,23293792,22,7.82919,3.60386,5.38806,SRR3729606_peak_154
1,23294618,23295196,579,23294983,24,6.57415,2.99084,4.25904,SRR3729606_peak_155
1,23295946,23297282,1337,23296309,38,20.0775,6.11089,16.754,SRR3729606_peak_156
1,23300558,23301073,516,23300731,30,13.3281,4.78989,10.4486,SRR3729606_peak_157
1,23303021,23303848,828,23303322,23,7.74443,3.48021,5.3219,SRR3729606_peak_158
1,23304446,23305626,1181,23304783,30,11.2694,4.07675,8.53448,SRR3729606_peak_159
1,23309942,23311084,1143,23310473,24,6.99022,3.13225,4.63904,SRR3729606_peak_160
1,23312962,23313411,450,23313215,20,5.87468,3.0145,3.64469,SRR3729606_peak_161
1,23318510,23318883,374,23318711,23,5.85004,2.80782,3.62303,SRR3729606_peak_162
1,23319997,23320378,382,23320291,22,7.27532,3.39041,4.88974,SRR3729606_peak_163
1,23325066,23325485,420,23325143,20,6.00751,3.06599,3.75151,SRR3729606_peak_164
1,23325585,23326442,858,23326083,36,12.918,4.05986,10.0631,SRR3729606_peak_165
1,23360559,23361181,623,23360855,27,9.28646,3.68222,6.71582,SRR3729606_peak_166
1,23422515,23423000,486,23422797,31,10.7696,3.82827,8.07809,SRR3729606_peak_167
1,23520010,23520436,427,23520297,23,7.07858,3.2365,4.71945,SRR3729606_peak_168
1,23523297,23524138,842,23523811,29,12.7504,4.70068,9.90356,SRR3729606_peak_169
1,23913153,23913580,428,23913443,21,6.36325,3.12587,4.07863,SRR3729606_peak_170
1,24044346,24045260,915,24044636,37,19.2157,5.9542,15.9438,SRR3729606_peak_171
1,24080947,24081318,372,24081174,21,4.10673,2.31799,2.10011,SRR3729606_peak_172
1,24136587,24138314,1728,24136767,25,6.71938,2.97611,4.39049,SRR3729606_peak_173
1,24146492,24147355,864,24146879,30,9.6115,3.54844,7.01877,SRR3729606_peak_174
1,24175802,24176173,372,24175917,18,5.29738,2.93437,3.13664,SRR3729606_peak_175
1,24716993,24718211,1219,24717407,49,25.3414,6.29008,21.7429,SRR3729606_peak_176
1,24718452,24718931,480,24718612,17,4.84515,2.82041,2.72945,SRR3729606_peak_177
1,24732319,24732694,376,24732489,19,5.87088,3.09025,3.64161,SRR3729606_peak_178
1,24737083,24737765,683,24737549,21,7.19313,3.44717,4.81395,SRR3729606_peak_179
1,24738751,24740058,1308,24739471,31,9.97603,3.58547,7.34765,SRR3729606_peak_180
1,24782488,24783014,527,24782852,22,7.18975,3.35798,4.81395,SRR3729606_peak_181
1,27076150,27076570,421,27076337,17,4.84515,2.82041,2.72945,SRR3729606_peak_182
1,27922136,27923107,972,27922759,41,19.9606,5.66388,16.6502,SRR3729606_peak_183
1,27923216,27924325,1110,27923793,30,13.5136,4.85737,10.611,SRR3729606_peak_184
1,27971639,27972023,385,27971921,22,7.82919,3.60386,5.38806,SRR3729606_peak_185
1,28106040,28106427,388,28106190,21,6.82521,3.30298,4.4883,SRR3729606_peak_186
1,30838640,30839273,634,30839206,20,5.20856,2.76167,3.05474,SRR3729606_peak_187
1,30899464,30899859,396,30899555,23,8.03667,3.58982,5.58211,SRR3729606_peak_188
1,30913137,30913839,703,30913301,24,9.15467,3.91724,6.59351,SRR3729606_peak_189
1,30978746,30980646,1901,30980118,44,22.1819,5.97779,18.7425,SRR3729606_peak_190
1,30982398,30983227,830,30983014,29,11.7764,4.35026,9.01094,SRR3729606_peak_191
1,30983447,30985160,1714,30984795,34,15.3774,5.02416,12.3496,SRR3729606_peak_192
1,30985646,30987229,1584,30986112,28,9.65687,3.72139,7.06126,SRR3729606_peak_193
1,30987556,30988243,688,30988059,31,11.6454,4.10636,8.88653,SRR3729606_peak_194
1,30988867,30990523,1657,30989195,45,20.9896,5.50315,17.6134,SRR3729606_peak_195
1,30991212,30991626,415,30991391,23,6.63811,3.07977,4.31499,SRR3729606_peak_196
1,31054406,31055302,897,31055095,31,11.958,4.20826,9.17926,SRR3729606_peak_197
1,31056504,31056911,408,31056628,22,7.18975,3.35798,4.81395,SRR3729606_peak_198
1,31058551,31059087,537,31058724,26,7.68505,3.22574,5.26825,SRR3729606_peak_199
1,31072640,31073560,921,31072943,30,12.2394,4.40464,9.43433,SRR3729606_peak_200
1,31090634,31091194,561,31090871,19,5.05565,2.76751,2.91613,SRR3729606_peak_201
1,31111799,31112386,588,31112064,28,8.41107,3.31951,5.92589,SRR3729606_peak_202
1,31132938,31134512,1575,31133468,25,8.32528,3.51946,5.84714,SRR3729606_peak_203
1,31134875,31135650,776,31135448,27,8.05422,3.27579,5.59608,SRR3729606_peak_204
1,31135730,31136310,581,31135890,25,8.13788,3.45383,5.67463,SRR3729606_peak_205
1,31192886,31193688,803,31193294,37,18.5002,5.70514,15.2726,SRR3729606_peak_206
1,31592743,31593187,445,31593078,19,5.97816,3.13379,3.72594,SRR3729606_peak_207
1,33081312,33081759,448,33081410,28,7.5519,3.05553,5.14643,SRR3729606_peak_208
1,33253082,33253666,585,33253405,34,13.8517,4.52287,10.9287,SRR3729606_peak_209
1,33708748,33709374,627,33709124,31,12.9695,4.5477,10.1102,SRR3729606_peak_210
1,33773053,33774374,1322,33773613,52,27.8738,6.64037,24.1482,SRR3729606_peak_211
1,33778384,33778989,606,33778674,23,5.49632,2.6891,3.30111,SRR3729606_peak_212
1,33794321,33794891,571,33794643,21,7.19313,3.44717,4.81395,SRR3729606_peak_213
1,33796309,33796763,455,33796558,27,11.2666,4.3873,8.53352,SRR3729606_peak_214
1,33852944,33853421,478,33853267,24,7.53253,3.32099,5.12774,SRR3729606_peak_215
1,33853522,33853986,465,33853865,29,9.24752,3.50978,6.68017,SRR3729606_peak_216
1,34159753,34160274,522,34159910,21,5.9385,2.96679,3.70264,SRR3729606_peak_217
1,34161784,34162756,973,34162328,23,7.57551,3.41759,5.16562,SRR3729606_peak_218
1,34275743,34276114,372,34275894,23,7.71595,3.46961,5.29442,SRR3729606_peak_219
1,34276236,34277566,1331,34276854,34,12.7546,4.18151,9.9074,SRR3729606_peak_220
1,34426598,34427344,747,34427178,27,8.18369,3.31739,5.71551,SRR3729606_peak_221
1,34473278,34474317,1040,34473688,32,15.0804,5.17075,12.0705,SRR3729606_peak_222
1,34478060,34479532,1473,34478597,65,40.7244,8.46937,36.4855,SRR3729606_peak_223
1,35875009,35876025,1017,35875664,30,12.5003,4.49527,9.67976,SRR3729606_peak_224
1,35965097,35965789,693,35965421,24,9.15467,3.91724,6.59351,SRR3729606_peak_225
1,36104008,36104644,637,36104413,27,8.26984,3.34521,5.7977,SRR3729606_peak_226
1,36106534,36107265,732,36107017,33,13.0376,4.36301,10.1732,SRR3729606_peak_227
1,36108378,36109692,1315,36108749,28,7.16069,2.93868,4.7968,SRR3729606_peak_228
1,36110673,36113201,2529,36112467,30,10.0131,3.67282,7.3842,SRR3729606_peak_229
1,36113615,36115016,1402,36114667,44,21.307,5.71151,17.9167,SRR3729606_peak_230
1,36115139,36115599,461,36115349,24,6.37696,2.92482,4.0892,SRR3729606_peak_231
1,36117302,36117943,642,36117467,22,4.40653,2.37611,2.34667,SRR3729606_peak_232
1,36127729,36129522,1794,36128587,20,5.95395,3.04518,3.7166,SRR3729606_peak_233
1,36132721,36133512,792,36133220,30,11.8685,4.27757,9.09602,SRR3729606_peak_234
1,36133613,36134425,813,36133791,22,6.95205,3.26866,4.60401,SRR3729606_peak_235
1,36134861,36135260,400,36135076,27,7.20795,3.01001,4.82718,SRR3729606_peak_236
1,36138526,36138917,392,36138568,20,5.20856,2.76167,3.05474,SRR3729606_peak_237
1,36282521,36283768,1248,36283402,30,12.2394,4.40464,9.43433,SRR3729606_peak_238
1,36293934,36294768,835,36294185,30,11.5809,4.18048,8.82625,SRR3729606_peak_239
1,36346677,36347623,947,36347004,47,27.9882,7.4166,24.2587,SRR3729606_peak_240
1,36395863,36396581,719,36396226,33,10.7066,3.65501,8.02051,SRR3729606_peak_241
1,36400481,36401036,556,36400836,23,8.48327,3.76055,5.98143,SRR3729606_peak_242
1,36483892,36484405,514,36484183,22,7.59806,3.51404,5.1873,SRR3729606_peak_243
1,36504835,36505330,496,36505123,26,9.76466,3.94198,7.1604,SRR3729606_peak_244
1,36509058,36509907,850,36509378,26,7.69839,3.23011,5.27879,SRR3729606_peak_245
1,36509995,36510477,483,36510301,22,7.58831,3.51027,5.17821,SRR3729606_peak_246
1,36550153,36551126,974,36550706,30,13.5136,4.85737,10.611,SRR3729606_peak_247
1,36565012,36565431,420,36565279,19,4.83311,2.6818,2.72945,SRR3729606_peak_248
1,36566382,36566801,420,36566497,23,6.43011,3.00696,4.13933,SRR3729606_peak_249
1,36585818,36586801,984,36586101,28,9.39027,3.63341,6.81206,SRR3729606_peak_250
1,36595896,36596797,902,36596096,36,15.218,4.74798,12.201,SRR3729606_peak_251
1,36596869,36597240,372,36597040,23,7.97711,3.56735,5.52534,SRR3729606_peak_252
1,36730214,36730911,698,36730562,29,10.2821,3.8419,7.63375,SRR3729606_peak_253
1,36734356,36734735,380,36734618,20,6.14951,3.12143,3.8822,SRR3729606_peak_254
1,36748117,36748497,381,36748234,21,7.19313,3.44717,4.81395,SRR3729606_peak_255
1,36748656,36749407,752,36748990,31,14.2904,5.01406,11.3331,SRR3729606_peak_256
1,36819699,36820090,392,36819850,25,7.34369,3.18231,4.95233,SRR3729606_peak_257
1,36821368,36821741,374,36821644,20,5.795,2.98379,3.57293,SRR3729606_peak_258
1,36900760,36901367,608,36901044,20,6.46152,3.24476,4.16703,SRR3729606_peak_259
1,36913896,36914512,617,36914184,24,7.62094,3.35225,5.20782,SRR3729606_peak_260
1,36959422,36959876,455,36959681,24,5.82461,2.74315,3.59953,SRR3729606_peak_261
1,36974032,36974454,423,36974181,27,9.56057,3.77592,6.9716,SRR3729606_peak_262
1,36976238,36976659,422,36976453,19,5.87088,3.09025,3.64161,SRR3729606_peak_263
1,36976744,36977182,439,36977070,21,7.19313,3.44717,4.81395,SRR3729606_peak_264
1,36977410,36977985,576,36977640,20,5.20856,2.76167,3.05474,SRR3729606_peak_265
1,36978655,36979513,859,36979308,37,13.5915,4.16959,10.6853,SRR3729606_peak_266
1,36979582,36980009,428,36979744,25,9.84275,4.07392,7.22448,SRR3729606_peak_267
1,37064776,37065607,832,37065245,36,16.7965,5.25828,13.6717,SRR3729606_peak_268
1,37067481,37068029,549,37067774,23,8.34767,3.7083,5.86742,SRR3729606_peak_269
1,37080196,37080874,679,37080587,37,19.2157,5.9542,15.9438,SRR3729606_peak_270
1,37096076,37096474,399,37096237,27,9.28646,3.68222,6.71582,SRR3729606_peak_271
1,37338113,37339461,1349,37338610,31,13.3289,4.67198,10.4486,SRR3729606_peak_272
1,37339588,37340004,417,37339706,24,5.65254,2.68751,3.44355,SRR3729606_peak_273
1,37356195,37356566,372,37356324,23,7.55504,3.41004,5.14773,SRR3729606_peak_274
1,37380274,37381401,1128,37380871,41,19.0416,5.37866,15.7868,SRR3729606_peak_275
1,37389865,37390931,1067,37390267,33,11.798,3.97775,9.03125,SRR3729606_peak_276
1,37399731,37400342,612,37399810,21,6.77567,3.28378,4.44493,SRR3729606_peak_277
1,37468493,37469676,1184,37469001,63,33.277,6.74324,29.309,SRR3729606_peak_278
1,37650039,37650425,387,37650240,23,8.1372,3.62791,5.67452,SRR3729606_peak_279
1,37903928,37904325,398,37904173,25,8.23091,3.48634,5.76032,SRR3729606_peak_280
1,37904463,37904966,504,37904709,28,7.5519,3.05553,5.14643,SRR3729606_peak_281
1,37910881,37912004,1124,37911606,36,16.3781,5.11988,13.2856,SRR3729606_peak_282
1,37928934,37930026,1093,37929688,51,25.9338,6.21253,22.3034,SRR3729606_peak_283
1,38035973,38037208,1236,38036167,45,26.4017,7.20771,22.7439,SRR3729606_peak_284
1,38070356,38071005,650,38070722,24,6.57415,2.99084,4.25904,SRR3729606_peak_285
1,38092812,38093183,372,38093059,23,6.43011,3.00696,4.13933,SRR3729606_peak_286
1,38148583,38149369,787,38148818,27,11.2666,4.3873,8.53352,SRR3729606_peak_287
1,38163552,38163937,386,38163703,23,5.85004,2.80782,3.62303,SRR3729606_peak_288
1,38214883,38215381,499,38215220,22,6.95017,3.26796,4.60279,SRR3729606_peak_289
1,38280371,38282168,1798,38281163,32,11.7182,4.03908,8.95551,SRR3729606_peak_290
1,38347158,38347990,833,38347539,31,11.6454,4.10636,8.88653,SRR3729606_peak_291
1,38488593,38489133,541,38488890,22,6.95017,3.26796,4.60279,SRR3729606_peak_292
1,39026051,39027233,1183,39026799,41,22.2517,6.41693,18.8091,SRR3729606_peak_293
1,39106902,39107568,667,39107303,39,18.239,5.3636,15.0344,SRR3729606_peak_294
1,39141097,39142082,986,39141372,25,9.66486,4.00676,7.06915,SRR3729606_peak_295
1,39232061,39232432,372,39232157,21,7.19313,3.44717,4.81395,SRR3729606_peak_296
1,39406837,39407551,715,39407200,38,19.7147,5.98425,16.4188,SRR3729606_peak_297
1,39412802,39413173,372,39413046,21,6.74907,3.27349,4.41873,SRR3729606_peak_298
1,39473069,39474053,985,39473487,43,18.6076,5.0365,15.3758,SRR3729606_peak_299
1,39484664,39485174,511,39484962,32,9.84719,3.47698,7.22667,SRR3729606_peak_300
1,39497122,39497885,764,39497785,27,7.20795,3.01001,4.82718,SRR3729606_peak_301
1,39574560,39575107,548,39574828,25,9.84275,4.07392,7.22448,SRR3729606_peak_302
1,39586122,39586873,752,39586364,24,7.67479,3.37136,5.25835,SRR3729606_peak_303
1,39610208,39610593,386,39610525,24,7.43793,3.2877,5.0403,SRR3729606_peak_304
1,39615325,39615819,495,39615518,23,7.46545,3.37709,5.06441,SRR3729606_peak_305
1,39616642,39618011,1370,39616881,24,9.01197,3.86281,6.47259,SRR3729606_peak_306
1,39630977,39631848,872,39631259,43,23.6253,6.58134,20.1127,SRR3729606_peak_307
1,39651360,39652283,924,39651686,22,7.82919,3.60386,5.38806,SRR3729606_peak_308
