Gene	Log2FoldChange	pvalue
RPL30	0.61	3.23E-06
NOL6	0.33	3.26E-06
CDK7	0.45	3.27E-06
PORCN	-0.64	3.33E-06
MRPL44	0.21	3.33E-06
TKT	0.84	3.38E-06
PNPT1	0.32	3.46E-06
SNHG4	1	3.47E-06
HIGD1C	-0.12	3.52E-06
ZNF485	0.53	3.68E-06
UTP4	0.37	3.76E-06
TEX10	0.44	3.78E-06
RPL31	0.53	3.83E-06
KANK2	-0.57	3.94E-06
RPS12	0.69	3.96E-06
RPS24	0.62	4.05E-06
RPL22L1	0.8	4.09E-06
TMEM67	0.77	4.17E-06
RPL23	0.62	4.27E-06
SEH1L	0.32	4.46E-06
RPL26	0.6	4.52E-06
TTPAL	-0.48	4.58E-06
PRAMEF11	-1.36	4.66E-06
HSP90AB1	0.4	4.68E-06
RPS3	0.58	4.72E-06
RAN	0.45	4.74E-06
WDR4	0.57	4.76E-06
RPS18	0.59	4.80E-06
TMEM185B	0.38	4.88E-06
ATP4A	-0.52	4.96E-06
RPL14	0.57	5.01E-06
HEATR1	0.48	5.02E-06
RSL24D1	0.27	5.06E-06
RPS8	0.55	5.15E-06
TRIB1	0.68	5.23E-06
METTL8	0.39	5.34E-06
RPP40	0.48	5.38E-06
PEBP4	-1.02	5.41E-06
BRIX1	0.42	5.59E-06
DEXI	-0.47	5.63E-06
LRRC43	-0.65	5.68E-06
SET	0.33	5.73E-06
ROS1	-0.94	5.75E-06
EIF5B	0.32	5.76E-06
DUSP11	0.25	5.77E-06
NWD1	-0.55	5.92E-06
TCAP	-0.94	5.94E-06
DRAIC	-1.74	6.03E-06
RPS14	0.53	6.05E-06
HTRA2	0.3	6.07E-06
FNDC5	-1.99	6.07E-06
LRPPRC	0.3	6.11E-06
PGRMC1	-0.64	6.15E-06
PKHD1L1	1.58	6.17E-06
FGGY	-1.24	6.30E-06
CYP4F22	-2.15	6.30E-06
LINC01341	-0.84	6.46E-06
GASK1A	-1.45	6.47E-06
EXOSC2	0.34	6.51E-06
ZNF343	0.36	6.53E-06
EIF4A3	0.29	6.82E-06
TRIM74	-0.9	6.82E-06
PTGFR	-2.07	6.89E-06
TNFRSF21	0.86	6.89E-06
TREX1	-0.67	6.94E-06
CHD7	0.57	6.99E-06
C9ORF85	0.3	7.07E-06
GART	0.38	7.21E-06
ST20-AS1	-0.53	7.37E-06
KIF1A	-1.52	7.40E-06
LINGO4	-1.15	7.41E-06
MCMDC2	0.67	7.99E-06
DHX37	0.36	8.00E-06
FNDC8	0.66	8.00E-06
RNF139	0.32	8.05E-06
PFN1P2	-0.69	8.05E-06
KRT86	-1.16	8.05E-06
TTLL12	0.38	8.06E-06
RPL15	0.41	8.33E-06
GTPBP4	0.34	8.39E-06
NLN	0.57	8.51E-06
C1QBP	0.4	8.57E-06
CBX3	0.32	8.67E-06
AUTS2	-1.2	8.71E-06
TSEN2	0.38	8.71E-06
TAF9	0.37	8.92E-06
FBXO2	-1.35	9.00E-06
VPS13D	-0.42	9.58E-06
RELN	2.11	9.95E-06
CRYBA4	-0.32	1.00E-05
RPL32	0.53	1.03E-05
NTAN1	-0.42	1.04E-05
RPS25	0.46	1.05E-05
RPL23P8	0.62	1.06E-05
PIK3C2B	-0.55	1.06E-05
ZC3H15	0.25	1.07E-05
CCT5	0.38	1.07E-05
ENY2	0.52	1.12E-05
CCDC86	0.39	1.14E-05
KCNK4	-0.43	1.15E-05
FXR1	0.32	1.17E-05
RAB22A	-0.24	1.17E-05
KDM7A-DT	-0.54	1.17E-05
RPL37A	0.57	1.18E-05
LCNL1	-0.63	1.21E-05
TLE2	-0.87	1.21E-05
RPLP0	0.53	1.22E-05
RPL4	0.48	1.24E-05
NTN3	-0.74	1.25E-05
DCAF4	0.32	1.31E-05
AZIN1	0.48	1.31E-05
CTSH	-0.69	1.32E-05
RPSAP58	0.56	1.33E-05
CLEC2D	0.48	1.37E-05
TRMT5	0.25	1.39E-05
TNRC6A	-0.39	1.44E-05
GEMIN5	0.35	1.44E-05
HTRA1	-0.96	1.46E-05
ANKRD34A	-0.55	1.47E-05
DDX56	0.27	1.49E-05
CDHR2	2.18	1.50E-05
NOL11	0.31	1.53E-05
ACTG1P4	-0.83	1.56E-05
HSD3B2	-0.81	1.56E-05
TM9SF1	-0.28	1.60E-05
MRPL13	0.49	1.61E-05
PES1	0.39	1.62E-05
RPS6	0.53	1.63E-05
RPSA	0.57	1.63E-05
ADSL	0.41	1.63E-05
NME1	0.56	1.66E-05
ATP6V1C1	0.5	1.67E-05
UBAP2	0.44	1.68E-05
TCEA2	-0.8	1.69E-05
RPS10	0.56	1.75E-05
NAT10	0.27	1.76E-05
CUTC	0.36	1.78E-05
GRIN2C	-0.61	1.86E-05
NAPA	-0.32	1.87E-05
TRIM2	-0.76	1.89E-05
TGIF2	0.56	1.90E-05
MRPS27	0.32	1.92E-05
SMYD5	0.38	1.96E-05
ARRDC4	-1.07	1.97E-05
TSR1	0.34	1.98E-05
GDF15	1.07	1.99E-05
NTAQ1	0.51	2.01E-05
GAR1	0.34	2.05E-05
TRHDE	-1.36	2.05E-05
PINK1	-0.56	2.06E-05
TRMT10C	0.31	2.07E-05
ANKRD35	-1.56	2.08E-05
CPE	-0.8	2.11E-05
PWP1	0.25	2.14E-05
METAP1D	0.48	2.20E-05
TMEM64	0.61	2.21E-05
ABCE1	0.34	2.23E-05
SHMT1	-1.01	2.24E-05
PALS2	0.52	2.26E-05
MEIOB	-0.73	2.26E-05
TFAP4	0.43	2.29E-05
SGTB	0.45	2.29E-05
SPATA41	-0.97	2.30E-05
ANKRD9	-0.59	2.31E-05
PINX1	0.45	2.38E-05
TIMM9	0.31	2.42E-05
IPO7	0.36	2.44E-05
NDFIP1	-0.3	2.46E-05
RUVBL1	0.39	2.47E-05
ASAP1	0.62	2.47E-05
TRMT1	0.4	2.47E-05
ZSWIM5	0.92	2.51E-05
SNHG6	0.69	2.52E-05
MRPS30	0.3	2.52E-05
ADAMTSL3	-1.33	2.54E-05
BOD1	0.33	2.55E-05
EEF1A2	-2.54	2.65E-05
CCT6A	0.35	2.70E-05
RPS13	0.44	2.77E-05
HNF4G	0.55	2.82E-05
DDC	1.05	2.83E-05
RPS7	0.47	2.84E-05
MPPE1	-0.39	2.85E-05
RAB3A	-0.54	2.91E-05
VIRMA	0.36	2.95E-05
RPL6	0.43	3.01E-05
DPH5	0.35	3.01E-05
RPS5	0.55	3.03E-05
RPL19P12	0.56	3.09E-05
ABCF2	0.32	3.12E-05
ABCA7	-0.81	3.13E-05
LAMP2	-0.47	3.19E-05
EIF2A	0.26	3.19E-05
ESF1	0.39	3.28E-05
FRMPD1	-1.35	3.31E-05
RPL3	0.4	3.33E-05
MID2	-0.77	3.34E-05
SNHG8	0.53	3.34E-05
RARA	-0.33	3.35E-05
BAIAP2-DT	-0.53	3.41E-05
TEX37	-0.46	3.46E-05
AMOTL1	-0.93	3.47E-05
CHMP4C	0.48	3.50E-05
PPAT	0.43	3.50E-05
MMP15	-0.56	3.51E-05
SPACA3	-0.12	3.53E-05
ZNF684	-0.58	3.56E-05
IGF1	-1.2	3.56E-05
MRPL45	0.37	3.57E-05
FUCA1	-0.47	3.59E-05
ZNF833P	-0.53	3.68E-05
DDX52	0.28	3.72E-05
NSA2	0.36	3.74E-05
METAP1	0.28	3.76E-05
MAPT-IT1	-0.61	3.77E-05
FBXO44	-0.58	3.83E-05
SESN2	-0.49	3.84E-05
FBXO9	-0.41	3.95E-05
ABCA10	-0.98	3.97E-05
KCNJ4	-1.53	3.99E-05
CSPP1	0.49	4.00E-05
EBAG9	0.36	4.07E-05
CPSF1	0.43	4.20E-05
NDUFAF2	0.46	4.22E-05
AMY1A	-0.69	4.26E-05
XPO5	0.4	4.54E-05
RPL13A	0.52	4.60E-05
RAPH1	-0.61	4.60E-05
CDH12	-0.87	4.60E-05
DDX50	0.28	4.73E-05
FAN1	-0.32	4.74E-05
TTLL4	0.8	4.79E-05
MACO1	-0.3	4.79E-05
AGO2	0.48	4.81E-05
COQ7	-0.26	4.90E-05
HAGH	-0.65	4.97E-05
DNMBP-AS1	-0.97	5.02E-05
TMEM177	0.34	5.13E-05
SYNM	-0.84	5.18E-05
PTK2	0.45	5.25E-05
EXOSC5	0.41	5.27E-05
DSCC1	0.67	5.31E-05
MARCKS	0.6	5.35E-05
GCK	-1.7	5.37E-05
SEC14L3	-1.27	5.40E-05
HGH1	0.48	5.50E-05
AKR1C1	0.98	5.50E-05
LTV1	0.41	5.53E-05
ZNF696	0.51	5.57E-05
KIAA0408	-0.72	5.61E-05
PRAMEF4	-1.51	5.64E-05
WDR46	0.32	5.66E-05
SNHG29	0.68	5.68E-05
CASTOR1	-0.57	5.68E-05
CPTP	-0.47	5.71E-05
NACA	0.31	5.71E-05
SLC35D2	0.44	5.73E-05
RPL23A	0.51	5.76E-05
IARS1	0.38	5.83E-05
TMEM129	-0.39	5.88E-05
CYP2C8	-1.91	5.98E-05
TLN2	-0.69	6.02E-05
NR2E3	-0.49	6.07E-05
MRPL15	0.36	6.08E-05
KIF3B	-0.26	6.09E-05
NOL8	0.29	6.10E-05
EEF1D	0.5	6.16E-05
RPS20	0.54	6.27E-05
CT47A1	-0.43	6.32E-05
CRY2	-0.5	6.33E-05
MMS19	0.29	6.36E-05
METTL1	0.4	6.38E-05
RPIA	0.34	6.39E-05
BCCIP	0.26	6.43E-05
KIAA0930	0.43	6.56E-05
UTP14A	0.31	6.58E-05
LMCD1	0.52	6.59E-05
TMEM253	-0.49	6.62E-05
RBIS	0.49	6.63E-05
SLC38A10	-0.34	6.75E-05
SRF	0.29	6.89E-05
PRPF4	0.28	7.01E-05
OGDH	-0.34	7.01E-05
PWP2	0.34	7.05E-05
RPL35A	0.45	7.05E-05
LTB4R	-0.62	7.11E-05
LINC01119	-0.64	7.12E-05
MED17	0.31	7.13E-05
CBLN3	-0.82	7.18E-05
GHR	-1.25	7.21E-05
CHORDC1	0.46	7.30E-05
IPO5	0.43	7.32E-05
PLCH2	-1.27	7.35E-05
MGLL	-0.78	7.40E-05
COPZ2	-0.66	7.44E-05
PNKD	-0.38	7.51E-05
UTP25	0.32	7.59E-05
MTREX	0.23	7.65E-05
EIF5AL1	0.31	7.70E-05
C8ORF76	0.39	7.72E-05
ZBTB8A	-0.6	7.78E-05
BAD	-0.39	7.97E-05
ABRAXAS1	0.4	8.10E-05
LYG2	-0.53	8.11E-05
NXT1	0.37	8.31E-05
RALGPS1	-0.79	8.35E-05
RPL35	0.5	8.70E-05
MISP3	-0.9	8.71E-05
DEPDC5	-0.39	8.72E-05
POLR3G	0.49	8.75E-05
SLX1B	-0.44	8.76E-05
RPS4X	0.45	8.82E-05
UMPS	0.23	8.84E-05
MEP1B	-0.86	8.91E-05
SPEM2	-0.1	8.91E-05
SCRIB	0.49	8.93E-05
C6ORF47	-0.5	8.97E-05
CEP70	-0.38	9.13E-05
TRIM62	-0.39	9.15E-05
AMY2B	-0.84	9.16E-05
LIPT1	0.28	9.16E-05
WDR35	0.45	9.34E-05
SERBP1	0.26	9.40E-05
RAPGEF3	-0.49	9.58E-05
DHRS4-AS1	-0.46	9.72E-05
STOML2	0.28	9.83E-05
GNB5	-0.48	1.00E-04
FZD4	-0.47	1.01E-04
THG1L	0.36	1.01E-04
HSD3B1	-1.03	1.01E-04
SMPD1	-0.45	1.01E-04
SLC25A34	-0.74	1.02E-04
SNHG5	0.69	1.02E-04
ADGRA3	-0.54	1.03E-04
NFE2L2	0.34	1.03E-04
PA2G4	0.29	1.04E-04
UIMC1	0.27	1.04E-04
ANP32B	0.36	1.06E-04
ZBTB3	-0.27	1.06E-04
LYPD3	-0.76	1.07E-04
ZRANB3	0.44	1.07E-04
OLFM3	-0.59	1.08E-04
SAMD13	0.74	1.08E-04
RHOBTB2	-0.47	1.10E-04
WDR36	0.25	1.10E-04
RPL27	0.51	1.11E-04
IPW	1.11	1.12E-04
RNF145	0.47	1.13E-04
TP53INP2	-0.49	1.14E-04
RAB15	0.49	1.14E-04
JMJD7-PLA2G4B	-0.37	1.15E-04
TMEM69	0.36	1.15E-04
RBM28	0.28	1.15E-04
NBN	0.34	1.16E-04
SHC4	-0.77	1.16E-04
SNHG20	0.43	1.19E-04
PAIP2	0.21	1.19E-04
SEPTIN3	-0.92	1.19E-04
SRFBP1	0.34	1.20E-04
RPL19	0.41	1.20E-04
RPL34	0.43	1.20E-04
DNAAF5	0.29	1.22E-04
OPRPN	-1.29	1.23E-04
PRXL2C	0.42	1.25E-04
FAM136A	0.36	1.27E-04
NKRF	0.3	1.28E-04
APOL6	-0.57	1.30E-04
XRN2	0.28	1.30E-04
GDNF	-0.72	1.32E-04
EEF1G	0.41	1.32E-04
PPDPF	-0.79	1.33E-04
RANBP1	0.37	1.34E-04
CCT3	0.39	1.37E-04
YBX1	0.37	1.37E-04
VASN	-0.57	1.37E-04
KHDRBS3	0.61	1.38E-04
CCT8	0.32	1.39E-04
BCAS1	1.35	1.40E-04
WEE1	0.51	1.44E-04
CFAP57	-0.67	1.44E-04
STX1B	-0.73	1.44E-04
ZNF581	0.5	1.45E-04
TRMT12	0.4	1.45E-04
CAD	0.43	1.45E-04
ARHGEF10L	-0.38	1.48E-04
CA10	-0.43	1.48E-04
QTRT2	0.3	1.49E-04
HNRNPK	0.17	1.52E-04
REPS2	-0.64	1.52E-04
HNRNPA1L2	0.35	1.54E-04
PADI1	-1.07	1.55E-04
EMG1	0.41	1.55E-04
EXOSC3	0.29	1.55E-04
PMPCB	0.24	1.57E-04
CYP4V2	-0.61	1.57E-04
PFAS	0.37	1.57E-04
PIK3C3	0.24	1.58E-04
NUCB2	-0.45	1.58E-04
CPOX	-0.27	1.59E-04
RMDN1	0.33	1.59E-04
GCG	-0.38	1.64E-04
PPP1R32	-0.68	1.68E-04
RPL18A	0.53	1.70E-04
UBE2E1	0.26	1.71E-04
FBL	0.51	1.71E-04
HERC1	-0.34	1.72E-04
SLC52A2	0.52	1.74E-04
POLR1D	0.29	1.74E-04
RCAN2	-0.84	1.75E-04
SNU13	0.28	1.75E-04
CLIC1	0.49	1.75E-04
MTHFS	-0.53	1.76E-04
ECHDC2	-0.58	1.76E-04
FOXD2	-0.77	1.78E-04
NPBWR1	-0.78	1.79E-04
MAFA	-0.8	1.79E-04
CC2D2B	-0.23	1.79E-04
NACA4P	0.35	1.81E-04
RIOK2	0.25	1.82E-04
RRP15	0.3	1.83E-04
PHF5A	0.27	1.84E-04
SHISA3	-1.14	1.84E-04
RNASE4	-0.59	1.86E-04
CDH7	-0.3	1.86E-04
MAMDC4	-1.05	1.86E-04
C8ORF33	0.42	1.87E-04
GFOD2	-0.34	1.88E-04
CYP2A13	-1.35	1.88E-04
FAM20A	-0.57	1.88E-04
LETMD1	0.29	1.89E-04
CEBPD	0.62	1.89E-04
MTFR1L	-0.28	1.90E-04
LY86-AS1	-0.39	1.93E-04
DPH2	0.38	1.94E-04
MAN2B2	-0.38	1.98E-04
LYRM4	0.39	1.98E-04
SNHG28	-0.74	1.99E-04
RDH8	-0.39	1.99E-04
CNDP1	-1.7	2.00E-04
MFSD2A	-1.76	2.01E-04
ACTR8	0.24	2.02E-04
SNHG17	0.54	2.02E-04
HABP4	0.52	2.03E-04
PUF60	0.41	2.05E-04
SRSF7	0.21	2.05E-04
ELL3	-0.39	2.06E-04
HNRNPDL	0.25	2.08E-04
ZNHIT6	0.34	2.09E-04
FAM205A	-0.2	2.10E-04
RNF44	0.41	2.11E-04
CAPS2	-0.55	2.13E-04
STARD5	-0.69	2.14E-04
USP36	0.23	2.16E-04
ADGRB2	-0.89	2.17E-04
POLR3C	0.31	2.19E-04
FAM86B1	0.69	2.20E-04
CEND1	-0.61	2.22E-04
NAV3	-1.24	2.25E-04
MED28	0.29	2.25E-04
RTN4R	-0.81	2.26E-04
CGNL1	-0.79	2.31E-04
RPL13AP20	0.54	2.31E-04
FAM131B	-0.53	2.31E-04
DSC2	0.67	2.33E-04
WARS2	0.29	2.35E-04
DDX47	0.24	2.36E-04
KDM8	-0.79	2.37E-04
CRYAA	-1.8	2.37E-04
EMC9	-0.4	2.38E-04
SNORA8	0.45	2.40E-04
MAN1C1	-0.94	2.41E-04
LDB3	-0.67	2.44E-04
APC2	-0.64	2.45E-04
APMAP	-0.5	2.45E-04
DHX30	0.17	2.47E-04
ASNSD1	0.16	2.48E-04
NLRP6	-1.17	2.51E-04
DHRS1	-0.64	2.51E-04
EIF5A	0.32	2.52E-04
ATP6V0D1	-0.32	2.53E-04
CFAP47	-0.31	2.55E-04
ABCC6P2	-0.49	2.57E-04
SH3BP2	-0.49	2.59E-04
ARHGEF26	-0.91	2.62E-04
SPDYE8	-0.4	2.63E-04
NFIB	-0.56	2.65E-04
CT47B1	-0.6	2.66E-04
PRDM2	-0.35	2.66E-04
UTP6	0.27	2.67E-04
TYW3	0.3	2.67E-04
NFE2L1	-0.33	2.69E-04
AHSA1	0.28	2.69E-04
NAP1L1	0.46	2.69E-04
ZBTB7B	-0.4	2.75E-04
PIK3R3	-0.38	2.77E-04
POLR1F	0.27	2.77E-04
C1ORF158	-0.36	2.78E-04
CTSD	-0.41	2.79E-04
ZHX3	-0.34	2.80E-04
ECI1	-0.36	2.80E-04
P4HB	-0.31	2.80E-04
RFPL4A	-0.84	2.80E-04
CLDN22	-0.5	2.81E-04
GPR153	-0.76	2.84E-04
GGT3P	0.93	2.85E-04
FBXL16	-1.06	2.90E-04
DPP7	-0.69	2.93E-04
MARS2	0.4	2.95E-04
NHEJ1	0.32	2.96E-04
KRT8	0.44	2.96E-04
BRME1	-0.55	2.96E-04
PAGR1	-0.28	3.01E-04
TRMT6	0.31	3.03E-04
HOMER1	0.96	3.06E-04
DAPL1	-0.41	3.08E-04
SLC1A1	-1.44	3.09E-04
MGAT2	-0.27	3.09E-04
CALR	-0.31	3.11E-04
SMYD1	-0.48	3.12E-04
AHDC1	-0.42	3.13E-04
PA2G4P4	0.29	3.14E-04
RPS2	0.44	3.14E-04
DDX27	0.26	3.15E-04
VRK2	0.34	3.16E-04
SMARCC1	0.33	3.18E-04
ERO1B	-0.54	3.18E-04
KLK15	-0.25	3.20E-04
ABCA4	0.92	3.21E-04
RASSF1	0.29	3.21E-04
SUCLG2	-0.43	3.22E-04
FAM53C	0.29	3.22E-04
PPAN	0.38	3.23E-04
RARS1	0.25	3.25E-04
ENTR1	0.26	3.25E-04
ZBTB7A	-0.32	3.25E-04
CYP1B1-AS1	-0.63	3.27E-04
FBXO42	-0.25	3.29E-04
MRPS35	0.23	3.29E-04
ZNF541	-0.83	3.31E-04
POLR3D	0.45	3.32E-04
GGT1	1.05	3.32E-04
FURIN	-0.65	3.34E-04
DANCR	0.63	3.34E-04
ELOC	0.39	3.34E-04
SRXN1	0.74	3.34E-04
CCL11	-0.88	3.36E-04
TOMM20	0.34	3.37E-04
POLR1E	0.36	3.41E-04
LRATD2	0.57	3.46E-04
TRMT61B	0.22	3.49E-04
EIF3M	0.28	3.51E-04
PPWD1	0.23	3.52E-04
EIF4E2	0.2	3.53E-04
GCLM	0.6	3.54E-04
PDE9A	1.07	3.55E-04
SNRPD1	0.36	3.56E-04
THBS1	0.89	3.58E-04
MAK16	0.48	3.67E-04
DND1	0.3	3.67E-04
PTRH2	0.34	3.68E-04
RFX6	1.07	3.69E-04
RNF149	0.32	3.69E-04
MRTFB	-0.35	3.71E-04
THPO	0.54	3.74E-04
YBX2	-1.31	3.74E-04
OLA1	0.31	3.75E-04
SERF1A	0.34	3.75E-04
TNS2	-0.5	3.77E-04
SMIM14	-0.46	3.79E-04
SLC2A10	-0.81	3.80E-04
EID3	0.6	3.82E-04
TOMM5	0.34	3.85E-04
SATB2	-0.55	3.86E-04
GGTLC1	0.89	3.92E-04
PKDREJ	-0.55	3.96E-04
RPS17	0.45	3.96E-04
SLPI	-1.83	3.97E-04
MAFB	-0.56	3.99E-04
SYT3	-1.04	4.02E-04
DCAF11	-0.44	4.03E-04
PDIA3	-0.26	4.04E-04
C17ORF78	-0.17	4.04E-04
RAB26	-0.72	4.06E-04
LINC01018	-2.01	4.13E-04
KPNA2	0.45	4.16E-04
COMMD5	0.36	4.25E-04
TMEM175	-0.31	4.29E-04
ASB16-AS1	-0.34	4.33E-04
UBE2W	0.28	4.35E-04
AIMP1	0.29	4.36E-04
MTHFD1L	0.56	4.39E-04
PWARSN	0.93	4.40E-04
C3ORF33	0.27	4.47E-04
NAA15	0.27	4.48E-04
POLR1H	0.33	4.48E-04
RBPMS2	-0.75	4.50E-04
COL23A1	-0.82	4.51E-04
CC2D2A	0.58	4.51E-04
CFAP69	0.59	4.52E-04
ZNF202	0.27	4.55E-04
FRMD7	-0.74	4.58E-04
MMEL1	-0.52	4.62E-04
MAPRE3	-0.44	4.62E-04
ZNF99	-0.42	4.65E-04
RPL24	0.37	4.67E-04
MTERF3	0.34	4.68E-04
PBDC1	0.24	4.70E-04
CNTN3	-1.36	4.71E-04
ACADL	-1.59	4.72E-04
ZCCHC7	0.23	4.73E-04
NFYB	-0.36	4.74E-04
POLR1A	0.33	4.75E-04
CARNS1	-0.7	4.76E-04
GEMIN4	0.31	4.78E-04
PRAMEF10	-1.51	4.88E-04
PDE4DIP	-0.47	4.88E-04
TCOF1	0.37	4.89E-04
DAB2IP	-0.42	4.90E-04
TFAM	0.27	4.92E-04
CSRP1	-0.57	4.92E-04
RPL37	0.43	4.94E-04
CCL24	0.74	4.96E-04
IRAK1BP1	0.5	4.97E-04
LINC01089	-0.44	4.99E-04
SNORD1C	0.59	5.00E-04
UTP20	0.31	5.15E-04
TRIM28	0.36	5.15E-04
