symbol	log2FC_MYC	padj_MYC
1700001K23Rik	-0.032842859	NA
1700001L05Rik	0.354596038	0.359883914
1700001L19Rik	NA	NA
1700001O22Rik	0.133881626	NA
1700001P01Rik	0.11050439	0.831705198
1700003E16Rik	-0.129760599	0.782553853
1700003F12Rik	0.12374763	NA
1700003G18Rik	-0.022323121	NA
1700003H04Rik	NA	NA
1700003M02Rik	-0.002423388	NA
1700006A11Rik	NA	NA
1700006E09Rik	NA	NA
1700007B14Rik	NA	NA
1700007G11Rik	-0.041815601	NA
1700007K09Rik	-0.101535956	NA
1700007K13Rik	-0.0172462	NA
1700008F21Rik	-0.005768829	0.993308625
1700008I05Rik	0.038595848	NA
1700008J07Rik	0.241661781	0.5269908
1700008O03Rik	0.028824317	NA
1700008P02Rik	NA	NA
1700009J07Rik	-0.082428539	NA
1700009N14Rik	NA	NA
1700010B08Rik	-0.002307769	NA
1700010D01Rik	-0.041815601	NA
1700010I14Rik	-0.247324011	0.590198644
1700011A15Rik	-0.041367315	NA
1700011E24Rik	0.044991586	NA
1700011H14Rik	0.182389467	0.713474701
1700011I03Rik	-0.142738559	NA
1700011L22Rik	-0.005753635	NA
1700012A03Rik	-0.004786602	NA
1700012B07Rik	NA	NA
1700012B09Rik	-0.053579883	NA
1700012D14Rik	0.150515409	0.715772089
1700012L04Rik	-0.010188824	NA
1700012P22Rik	NA	NA
1700013D24Rik	0.038595848	NA
1700013F07Rik	-0.042714014	NA
1700013G24Rik	NA	NA
1700013H16Rik	NA	NA
1700015E13Rik	0.659113818	0.066829532
1700015F17Rik	NA	NA
1700016C15Rik	-0.110577616	NA
1700016D06Rik	0.35266886	NA
1700016H13Rik	NA	NA
1700016K19Rik	NA	NA
1700017B05Rik	-0.354645909	0.195270254
1700017D01Rik	-0.042714014	NA
1700017N19Rik	NA	NA
1700018A04Rik	NA	NA
1700018A14Rik	0.038794799	NA
1700018B08Rik	NA	NA
1700018B24Rik	NA	NA
1700018C11Rik	-0.005562619	NA
1700018F24Rik	NA	NA
1700018L02Rik	0.254910346	0.532435118
1700019A02Rik	-0.110688893	NA
1700019B03Rik	0.130270248	NA
1700019D03Rik	-0.106238042	NA
1700019G17Rik	0.09400202	0.724582135
1700019L03Rik	0.166046821	0.728965938
1700019M22Rik	NA	NA
1700019N19Rik	NA	NA
1700019O17Rik	NA	NA
1700020A23Rik	-0.052714849	NA
1700020D05Rik	0.239375519	0.613876698
1700020I14Rik	-0.172380748	0.258238149
1700020L24Rik	0.068907929	NA
1700020N01Rik	0.013984079	NA
1700020N18Rik	NA	NA
1700021F05Rik	-0.072532303	0.77852275
1700021F07Rik	NA	NA
1700021K19Rik	0.076798599	0.707412003
1700022A21Rik	NA	NA
1700022I11Rik	-0.63661451	0.081653911
1700023E05Rik	-0.06017953	NA
1700024G13Rik	NA	NA
1700024P04Rik	-0.025316741	NA
1700024P16Rik	-0.062808409	0.875870032
1700025C18Rik	NA	NA
1700025F22Rik	NA	NA
1700025G04Rik	-0.078897603	0.842377624
1700026D08Rik	-0.041815601	NA
1700026D11Rik	0.125001621	NA
1700026L06Rik	-0.031681654	NA
1700028B04Rik	NA	NA
1700028J19Rik	-0.309358674	NA
1700028K03Rik	0.102596854	0.850618082
1700028M03Rik	NA	NA
1700028P14Rik	-0.041815601	NA
1700029F12Rik	0.044895143	NA
1700029H14Rik	-0.004345208	NA
1700029I15Rik	-0.042358779	0.940471245
1700029J07Rik	-0.361232829	0.29863891
1700029M20Rik	NA	NA
1700029P11Rik	NA	NA
1700030C10Rik	-0.371014777	0.380263996
1700030F18Rik	0.015673915	NA
1700030J22Rik	-0.108270679	0.845152819
1700030K09Rik	0.313488726	0.198242627
1700031F05Rik	NA	NA
1700031M16Rik	-0.041815601	NA
1700034E13Rik	NA	NA
1700034H15Rik	0.285369363	0.505587595
1700034I23Rik	-0.408851932	0.287315527
1700034J05Rik	0.108373486	0.845152819
1700034O15Rik	NA	NA
1700037C18Rik	0.518808625	0.109092733
1700037H04Rik	-0.410407189	0.103804443
1700039E15Rik	-0.231876836	NA
1700040L02Rik	0.136829154	0.798679739
1700041C23Rik	NA	NA
1700042B14Rik	NA	NA
1700042G07Rik	NA	NA
1700044K03Rik	-0.102847378	NA
1700047I17Rik2	NA	NA
1700047M11Rik	0.123035091	0.797816864
1700048O20Rik	-0.409343529	0.184244632
1700049E15Rik	NA	NA
1700049G17Rik	-0.027306111	0.953979471
1700049L16Rik	NA	NA
1700052I22Rik	-0.042194705	NA
1700052K11Rik	-0.055522489	0.897616239
1700052N19Rik	0.296636585	0.09181796
1700054K19Rik	NA	NA
1700056E22Rik	-0.126945613	0.816334433
1700057G04Rik	0.066401693	NA
1700060C20Rik	-0.004786602	NA
1700061G19Rik	0.260564077	NA
1700065D16Rik	0.266125546	NA
1700066B19Rik	0.343120438	0.426525876
1700066M21Rik	-0.019637859	0.931423703
1700066O22Rik	-0.098951664	NA
1700067K01Rik	0.516832397	0.087405559
1700067P10Rik	NA	NA
1700069L16Rik	NA	NA
1700071K01Rik	-0.116553222	NA
1700073E17Rik	-0.041367315	NA
1700074P13Rik	NA	NA
1700080E11Rik	NA	NA
1700080O16Rik	NA	NA
1700084C01Rik	-0.168699751	NA
1700084E18Rik	0.092937578	0.872727892
1700084J12Rik	-0.204936085	0.680337263
1700086L19Rik	NA	NA
1700086O06Rik	0.399823325	0.164919933
1700088E04Rik	-0.179513025	NA
1700092M07Rik	-0.029319208	0.962874606
1700093K21Rik	-0.001846079	NA
1700094D03Rik	0.151168005	0.558842774
1700096J18Rik	0.051432707	NA
1700096K18Rik	0.018270904	0.974850692
1700101E01Rik	-0.015387387	NA
1700102P08Rik	-0.083285706	0.888163208
1700106J16Rik	NA	NA
1700108F19Rik	0.110831493	NA
1700108J01Rik	0.584974583	NA
1700109G14Rik	NA	NA
1700109H08Rik	-0.111495943	0.814061588
1700111N16Rik	0.051067013	NA
1700112E06Rik	-0.277262575	0.52484272
1700113H08Rik	-0.043637334	NA
1700120K04Rik	-0.02236339	0.971545322
1700121N20Rik	NA	NA
1700123I01Rik	-0.066702935	NA
1700123K08Rik	-0.002307769	NA
1700123L14Rik	-0.012311573	NA
1700123O20Rik	0.342247725	0.016501823
1700125H20Rik	NA	NA
1700128F08Rik	-0.088707009	0.839836539
1700129C05Rik	NA	NA
1810009A15Rik	0.026960961	0.933086215
1810009J06Rik	0.651172173	NA
1810010D01Rik	-0.135165449	NA
1810010H24Rik	0.141575065	0.758567531
1810011H11Rik	-0.168683062	0.672248308
1810011O10Rik	0.539118951	0.091480319
1810013L24Rik	-0.075636376	0.746441546
1810014B01Rik	-0.248848356	0.571827763
1810022K09Rik	0.143108587	0.52589495
1810024B03Rik	-0.319487214	0.28658646
1810026J23Rik	-0.050113947	0.832705461
1810030O07Rik	0.087132217	0.66741098
1810032O08Rik	0.484335628	0.184244632
1810037I17Rik	0.230804857	0.256203077
1810041L15Rik	0.044542819	NA
1810043G02Rik	0.122214436	0.674246736
1810043H04Rik	0.113254851	0.712718454
1810046K07Rik	0.40989209	0.320041463
1810055G02Rik	0.049142149	0.927004073
1810058I24Rik	-0.074329242	0.741348388
1810062O18Rik	-0.008135436	NA
1810064F22Rik	0.869837526	0.005388039
1810065E05Rik	-0.041367315	NA
2010001E11Rik	0.174479087	NA
2010002M12Rik	0.287489892	0.529375809
2010003K11Rik	-0.076175467	0.895724969
2010005H15Rik	0.320737671	NA
2010012O05Rik	0.397708067	0.135635023
2010016I18Rik	0.449266462	0.263135264
2010106E10Rik	-0.007546658	NA
2010107E04Rik	0.013917883	0.970932248
2010107G12Rik	-0.071991545	NA
2010107G23Rik	-0.180389689	0.702807943
2010109I03Rik	0.084513646	0.885382042
2010111I01Rik	0.335276368	0.052064549
2010204K13Rik	0.252472447	NA
2010300C02Rik	0.241813823	NA
2010320M18Rik	-0.299590559	0.245116189
2200002D01Rik	-0.484400796	0.17220592
2200002J24Rik	-0.001480696	NA
2210010C04Rik	-0.074999412	NA
2210013O21Rik	0.158221799	0.759417809
2210015D19Rik	0.238337297	0.253227947
2210016F16Rik	0.078473826	0.650830963
2210016L21Rik	0.015985066	0.949399372
2210018M11Rik	-0.113207628	0.482750222
2210407C18Rik	NA	NA
2210408I21Rik	-0.3167042	0.137810173
2210409E12Rik	0.037813681	NA
2210417A02Rik	0.331194499	0.361327992
2300002M23Rik	NA	NA
2300005B03Rik	NA	NA
2300009A05Rik	0.123167604	0.679688555
2310001K24Rik	-0.103915974	NA
2310002L09Rik	NA	NA
2310003H01Rik	-0.151287714	0.618580368
2310007B03Rik	0.069162748	NA
2310007L24Rik	-0.169765178	NA
2310009B15Rik	0.277473038	0.321658634
2310011J03Rik	-0.014385462	0.955468417
2310014L17Rik	0.577707022	0.059712063
2310015A10Rik	-0.040298101	0.938197655
2310022A10Rik	0.179286343	0.5363379
2310022B05Rik	-0.200272254	0.453601354
2310030G06Rik	-0.155501796	0.385276507
2310033P09Rik	-0.094317772	0.738596189
2310034C09Rik	NA	NA
2310035C23Rik	-0.119958336	0.519033188
2310036O22Rik	-0.083066891	0.570208672
2310039H08Rik	-0.006579233	0.983905449
2310045N01Rik	-0.126538904	0.623564846
2310047M10Rik	-0.009054904	0.978103552
2310050C09Rik	NA	NA
2310057J18Rik	NA	NA
2310057M21Rik	-0.10263144	0.824551555
2310057N15Rik	-0.041815601	NA
2310061I04Rik	-0.363902241	0.091451274
2310061J03Rik	0.427067804	0.083946503
2310061N02Rik	NA	NA
2310067B10Rik	-0.019160211	0.955753054
2310068J16Rik	0.053193071	0.930514005
2310079G19Rik	NA	NA
2410002F23Rik	0.427551078	0.122143599
2410004B18Rik	0.359093479	0.06006989
2410004P03Rik	0.614267282	0.096384151
2410006H16Rik	0.432640444	0.087098925
2410012M07Rik	NA	NA
2410015M20Rik	-0.018998781	0.951141849
2410016O06Rik	0.341039688	0.120353992
2410017I17Rik	1.963823399	8.82E-12
2410018L13Rik	-0.029898787	NA
2410089E03Rik	0.051279839	0.896932524
2410127L17Rik	0.334769472	0.077513778
2410131K14Rik	0.645309651	0.002689543
2410137M14Rik	NA	NA
2510002D24Rik	-0.060523245	0.860055681
2510003E04Rik	0.05622794	0.817542699
2510009E07Rik	0.031357325	0.916362363
2510039O18Rik	0.179714693	0.292489491
2610001J05Rik	-0.160838214	0.432167804
2610002J02Rik	-0.067405476	0.811375522
2610002M06Rik	0.589780661	2.03E-08
2610005L07Rik	0.160301455	0.502423291
2610008E11Rik	-0.355307263	0.176922818
2610015P09Rik	0.092574153	0.804913544
2610020H08Rik	0.146772655	0.738596189
2610028E06Rik	0.024948748	NA
2610028H24Rik	0.087692324	NA
2610034B18Rik	0.054051836	0.869036583
2610035D17Rik	-1.060048643	0.001117182
2610044O15Rik8	0.300652538	0.097824655
2610100L16Rik	NA	NA
2610203C20Rik	-0.031005615	0.961282801
2610203C22Rik	0.318399839	0.406534902
2610301B20Rik	0.189207386	0.583885876
2610305D13Rik	0.486965743	0.199544542
2610306M01Rik	0.217447672	0.592697273
2610318N02Rik	-0.111644214	NA
2610507B11Rik	-0.241512828	0.00306125
2610524H06Rik	0.136761241	0.768518991
2610528J11Rik	-0.140538242	0.712119524
2700029M09Rik	-0.191339485	0.490725903
2700046A07Rik	0.140931233	NA
2700046G09Rik	-0.218850358	0.569574516
2700049A03Rik	-0.001220361	0.997818246
2700060E02Rik	-0.039020663	0.87484794
2700062C07Rik	-0.004458684	0.990550908
2700081O15Rik	-0.058374587	0.873514293
2700089E24Rik	0.147316649	0.353799577
2700094K13Rik	-0.069223983	0.855726913
2700097O09Rik	0.602614353	0.006465518
2700099C18Rik	-0.048056627	0.938077823
2810001G20Rik	0.391355774	0.174248055
2810002D19Rik	-0.0971602	0.815820719
2810004N23Rik	0.218139101	0.334201312
2810006K23Rik	0.316770778	0.040153624
2810007J24Rik	-0.168351369	0.49153106
2810008D09Rik	0.398415124	0.17509623
2810021J22Rik	-0.531014508	0.048343763
2810025M15Rik	0.153666383	0.556751053
2810032G03Rik	0.112990236	NA
2810047C21Rik1	-0.302818799	NA
2810403A07Rik	0.070313614	0.693338119
2810403D21Rik	0.076990953	0.848415374
2810405F15Rik	-0.083080563	NA
2810408A11Rik	-0.250740329	NA
2810408M09Rik	0.361458213	0.041848437
2810410L24Rik	-0.158426562	0.753560344
2810417H13Rik	-0.236581777	0.49153106
2810428I15Rik	-0.01017108	0.97169511
2810429I04Rik	0.675536595	0.006602676
2810433D01Rik	-0.115512368	NA
2810454H06Rik	-0.031977608	0.953736691
2810459M11Rik	-0.251373502	0.071971009
2810474O19Rik	0.141972709	0.681260403
2900005J15Rik	-0.019750975	0.971286776
2900011O08Rik	0.151327444	NA
2900026A02Rik	-0.293506897	0.13668396
2900041M22Rik	-0.003258487	NA
2900052N01Rik	-0.042194705	NA
2900060B14Rik	-0.146200746	0.746164609
2900079G21Rik	NA	NA
2900092C05Rik	NA	NA
2900092D14Rik	0.074715453	NA
2900097C17Rik	-0.119708973	0.207803059
3000002C10Rik	-0.229968167	0.48422624
3010026O09Rik	-0.60630346	0.047242842
3110001I22Rik	0.144212108	0.698659365
3110002H16Rik	0.219690739	0.209913226
3110007F17Rik	-0.008286708	0.9908374
3110009E18Rik	-0.106355711	0.850475019
3110021A11Rik	0.298737859	0.50707378
3110035E14Rik	0.05166158	0.932585643
3110039M20Rik	-0.041367315	NA
3110040N11Rik	0.14133605	0.620169966
3110043O21Rik	0.194648492	0.194225179
3110052M02Rik	0.452544555	0.091745695
3110057O12Rik	-0.02746884	0.905883574
3110062M04Rik	-0.018555702	0.960260388
3110070M22Rik	0.710611195	0.034809863
3110079O15Rik	0.916054654	0.006727454
3110082I17Rik	-0.097948338	0.851633458
3110099E03Rik	-0.041815601	NA
3300002I08Rik	-0.140595385	0.773700537
3425401B19Rik	-0.004214549	NA
3632451O06Rik	-0.177282649	0.720238242
3830403N18Rik	0.339646358	NA
3830406C13Rik	0.050648817	0.842377624
3830408C21Rik	0.230037317	0.630833235
3830417A13Rik	NA	NA
3930402G23Rik	-0.698496656	0.046719324
4430402I18Rik	0.26379357	0.572817405
4632415L05Rik	0.096819778	0.63595723
4632427E13Rik	0.061040321	0.722945913
4632428C04Rik	-0.705606483	0.03228583
4632428N05Rik	0.143228802	0.576585072
4732416N19Rik	0.184566177	0.715483226
4732456N10Rik	NA	NA
4732471J01Rik	-0.001317558	0.99797086
4831440E17Rik	0.280589391	0.367728751
4833418N02Rik	0.008493517	0.987617145
4833420G17Rik	0.013798453	0.954799347
4833422C13Rik	-0.161846618	0.714313552
4833423E24Rik	NA	NA
4833427G06Rik	NA	NA
4833439L19Rik	-0.107143496	0.572191824
4921501E09Rik	NA	NA
4921504E06Rik	0.016953004	NA
4921506M07Rik	-0.302665045	0.482187711
4921507P07Rik	0.112093412	0.831705198
4921509C19Rik	0.071902819	NA
4921511C20Rik	NA	NA
4921511H03Rik	-0.300546873	0.455682329
4921511M17Rik	NA	NA
4921517D22Rik	-0.130667345	NA
4921524J17Rik	0.037520385	0.924225871
4921524L21Rik	NA	NA
4921530L21Rik	NA	NA
4921531C22Rik	-0.144376068	0.704382251
4921533I20Rik	-0.177592726	NA
4921536K21Rik	NA	NA
4921539E11Rik	NA	NA
4922502D21Rik	NA	NA
4930402F06Rik	NA	NA
4930402H24Rik	-0.313911536	0.125411357
4930404I05Rik	0.060388127	0.917608089
4930404N11Rik	0.349009418	0.096210388
4930407I10Rik	NA	NA
4930412C18Rik	-0.226822305	0.49525826
4930412O13Rik	0.127989919	NA
4930415F15Rik	NA	NA
4930415L06Rik	NA	NA
4930415O20Rik	0.052505906	NA
4930417O13Rik	0.427142363	0.290983927
4930426L09Rik	0.158350742	NA
4930427A07Rik	-0.278115789	0.528775547
4930428D18Rik	NA	NA
4930429B21Rik	-0.003643136	NA
4930429F11Rik	NA	NA
4930430A15Rik	-0.041815601	NA
4930430F08Rik	0.640556665	0.00516357
4930432K21Rik	0.034545021	NA
4930433I11Rik	-0.037765272	NA
4930433N12Rik	0.286599793	0.529849427
4930435E12Rik	NA	NA
4930442L01Rik	-0.142416057	0.760928477
4930444G20Rik	0.248119774	0.600173672
4930447C04Rik	0.061604523	NA
4930448K20Rik	0.004659851	NA
4930449I24Rik	NA	NA
4930451I11Rik	NA	NA
4930452B06Rik	0.248617889	0.594428723
4930453N24Rik	0.035322664	0.863195535
4930465K10Rik	NA	NA
4930467E23Rik	-0.24980856	0.584855777
4930468A15Rik	NA	NA
4930470P17Rik	NA	NA
4930471G03Rik	-0.041815601	NA
4930474M22Rik	0.02631337	NA
4930474N05Rik	-0.003376219	NA
4930480E11Rik	NA	NA
4930481A15Rik	-0.041663495	0.947302376
4930483J18Rik	-0.041367315	NA
4930486L24Rik	0.260686339	0.577849557
4930488L21Rik	0.072712129	NA
4930502E18Rik	-0.041815601	NA
4930503B20Rik	0.038794799	NA
4930503E14Rik	-0.041815601	NA
4930503E24Rik	0.218940436	0.570220596
4930503H13Rik	NA	NA
4930503L19Rik	0.071577884	0.831181731
4930504O13Rik	NA	NA
4930505A04Rik	0.038595848	NA
4930506M07Rik	-0.080256906	0.760924751
4930507D05Rik	0.363229644	0.3827719
4930511M06Rik	0.091165214	0.749116589
4930512B01Rik	-0.195842553	0.654165221
4930513N10Rik	-0.265716351	0.456509033
4930515G01Rik	0.373825625	0.3715533
4930515G16Rik	NA	NA
4930519F09Rik	-0.186369687	0.426186185
4930519F16Rik	0.032981384	NA
4930519G04Rik	-0.028936875	NA
4930522H14Rik	-0.042714014	NA
4930523C07Rik	0.415067036	0.178922627
4930524B15Rik	0.016117473	NA
4930526I15Rik	0.049176889	0.93523495
4930528A17Rik	-0.129273916	0.809662399
4930529C04Rik	0.656869999	0.022203845
4930538K18Rik	0.076745536	NA
4930539E08Rik	-0.3279475	0.374442653
4930539J05Rik	-0.175819794	0.734445932
4930544D05Rik	0.1258704	NA
4930544G11Rik	0.038595848	NA
4930548H24Rik	-0.061786019	NA
4930549C01Rik	NA	NA
4930550C14Rik	-0.255842032	NA
4930550L24Rik	NA	NA
4930555G01Rik	NA	NA
4930557A04Rik	0.234104444	NA
4930558C23Rik	NA	NA
4930562C15Rik	-0.338991417	0.299235598
4930563D23Rik	0.080307113	NA
4930563E22Rik	0.087083328	0.880509573
4930567H12Rik	NA	NA
4930567H17Rik	NA	NA
4930568D16Rik	NA	NA
4930571K23Rik	-0.042714014	NA
4930578C19Rik	0.099069049	NA
4930578I06Rik	0.044115257	NA
4930579F01Rik	0.121999954	NA
4930579G24Rik	-0.034554032	0.949399372
4930579K19Rik	0.005450348	NA
4930581F22Rik	0.078284697	0.795370943
4930583K01Rik	0.061363555	NA
4930584F24Rik	NA	NA
4930590J08Rik	-0.015656809	NA
4930592I03Rik	0.072025755	0.903946491
4930594C11Rik	-0.261584048	NA
4930595M18Rik	NA	NA
4930596D02Rik	NA	NA
4931406B18Rik	0.360327187	0.397862957
4931406C07Rik	0.359304226	0.017028166
4931406H21Rik	-0.669241252	0.013001733
4931406P16Rik	0.067831136	0.695525256
4931408C20Rik	NA	NA
4931409K22Rik	-0.041815601	NA
4931414P19Rik	0.16793771	0.625254638
4931417E11Rik	NA	NA
4931423N10Rik	-0.135678354	NA
4931428F04Rik	0.004629833	0.994260736
4931428L18Rik	0.076674068	0.89782954
4931429I11Rik	NA	NA
4931429L15Rik	0.445301966	NA
4931431F19Rik	NA	NA
4931440F15Rik	-0.00100711	NA
4931440P22Rik	0.374998313	0.327404885
4932411E22Rik	NA	NA
4932411N23Rik	0.199104281	NA
4932414J04Rik	-0.041815601	NA
4932414N04Rik	-0.202053359	0.680503017
4932415M13Rik	NA	NA
4932416H05Rik	0.296283743	0.422227595
4932418E24Rik	-0.022216054	NA
4932429P05Rik	NA	NA
4932435O22Rik	NA	NA
4932438A13Rik	-0.375866418	0.091506913
4932438H23Rik	0.453695971	0.228124091
4932441J04Rik	-0.072989731	NA
4932443I19Rik	0.050370381	0.932889066
4933400A11Rik	-0.298197985	NA
4933400F21Rik	-0.16100344	0.758620995
4933401B06Rik	NA	NA
4933402E13Rik	NA	NA
4933402J07Rik	-0.042194705	NA
4933402N03Rik	NA	NA
4933402N22Rik	NA	NA
4933402P03Rik	0.038595848	NA
4933403O08Rik	0.038794799	NA
4933404O12Rik	-0.043754001	0.927004073
4933405L10Rik	-0.022753185	NA
4933405O20Rik	NA	NA
4933406F09Rik	NA	NA
4933406I18Rik	0.009165047	0.98861425
4933406J08Rik	NA	NA
4933406K04Rik	NA	NA
4933406M09Rik	-0.034019728	NA
4933407K13Rik	-0.000910493	0.998368346
4933407L21Rik	-0.070437594	NA
4933408B17Rik	-0.239739641	0.605729936
4933409G03Rik	NA	NA
4933409K07Rik	-0.042194705	NA
4933411G11Rik	0.051432707	NA
4933411K16Rik	-0.109550368	0.771402589
4933412E24Rik	0.087153991	NA
4933413G19Rik	NA	NA
4933415F23Rik	-0.002307769	NA
4933416C03Rik	NA	NA
4933417A18Rik	0.206257679	NA
4933417G07Rik	-0.133872652	NA
4933421I07Rik	-0.004096051	NA
4933425L06Rik	0.090001922	NA
4933427D06Rik	-0.042714014	NA
4933427D14Rik	-0.163071332	0.474405202
4933427E11Rik	0.311046861	NA
4933427G17Rik	-0.034749843	NA
4933429O19Rik	NA	NA
4933430I17Rik	-0.23211071	NA
4933431E20Rik	0.191973342	0.568513276
4933432I09Rik	-0.01080676	NA
4933433C11Rik	-0.016132493	NA
4933434E20Rik	-0.023211669	0.905336669
4933436I01Rik	NA	NA
4933439C10Rik	0.229422544	0.437527896
5031410I06Rik	0.070248768	NA
5031414D18Rik	0.164384157	0.721414658
5031425F14Rik	-0.152038238	0.773635988
5031426D15Rik	-0.063755754	0.902074612
5031434O11Rik	0.049209193	NA
5031439G07Rik	-0.014420064	0.963958355
5033404E19Rik	NA	NA
5033406O09Rik	-1.129943661	1.52E-09
5330413P13Rik	NA	NA
5330417C22Rik	-0.702841603	0.048984068
5330426P16Rik	-0.216945698	0.548464284
5330434G04Rik	NA	NA
5330439B14Rik	-0.026362664	NA
5430402E10Rik	NA	NA
5430402O13Rik	0.053948998	0.920836681
5430405H02Rik	-0.003303922	0.995715012
5430416O09Rik	-0.337669494	0.432857393
5430419D17Rik	NA	NA
5430421N21Rik	0.038794799	NA
5430427O19Rik	-0.237743831	0.589668628
5430435G22Rik	0.050623718	0.925390683
5530400C23Rik	NA	NA
5530601H04Rik	0.403868121	0.073127274
5730408K05Rik	0.3720559	0.362899584
5730409E04Rik	-0.108060394	0.811775198
5730416F02Rik	-0.07095753	NA
5730422E09Rik	0.33595793	0.439492695
5730455P16Rik	0.059643311	0.735200957
5730507C01Rik	-0.317641249	0.390765525
5730508B09Rik	0.767983328	8.21E-05
5730522E02Rik	0.299868012	0.490276229
5730559C18Rik	-0.145709337	NA
5830411N06Rik	0.019178025	NA
5830415F09Rik	0.478174853	0.020204068
5830416P10Rik	-0.053373363	0.929626345
5830417I10Rik	-0.015816084	0.952675162
5830432E09Rik	-0.088745073	0.878566449
5930412G12Rik	0.038595848	NA
6030408B16Rik	0.064782071	NA
6030419C18Rik	-0.020018556	NA
6030458C11Rik	0.259901891	0.049474639
6030468B19Rik	0.16403047	NA
6030498E09Rik	0.274881534	NA
6230400D17Rik	0.321709349	0.337402189
6330403A02Rik	0.409459721	0.311740453
6330403K07Rik	-0.059866537	NA
6330407A03Rik	-0.151422374	0.756494581
6330408A02Rik	0.005805426	0.989877105
6330416G13Rik	0.558099294	0.000879841
6330419J24Rik	0.180674451	NA
6330549D23Rik	-0.105411796	0.80302244
6430411K18Rik	NA	NA
6430531B16Rik	0.040499108	NA
6430548M08Rik	0.146999448	0.686521303
6430550D23Rik	0.387498034	0.193846118
6430562O15Rik	-0.026853512	0.965710163
6430571L13Rik	-0.030833493	0.960061708
6430573F11Rik	-1.436499812	2.08E-10
6530402F18Rik	0.16097826	0.697917898
6530411M01Rik	NA	NA
6720489N17Rik	-0.293565354	0.507509046
6820408C15Rik	0.024417407	NA
6820431F20Rik	0.372591094	0.001303603
7420426K07Rik	NA	NA
7420461P10Rik	NA	NA
8030411F24Rik	NA	NA
8030462N17Rik	0.100717985	0.679351265
8430408G22Rik	-0.196777206	0.554934914
8430419L09Rik	0.020559417	0.954404763
8430429K09Rik	-0.034762526	0.94724562
8430431K14Rik	0.229022472	0.61010384
9030025P20Rik	0.085285805	0.852483626
9030612E09Rik	-0.041815601	NA
9030617O03Rik	-0.196537768	0.196412278
9030619P08Rik	0.455567513	0.21188497
9030624J02Rik	-0.069260275	0.782843403
9130008F23Rik	-0.205645465	0.678024446
9130011E15Rik	-0.128820222	0.644099419
9130019O22Rik	0.237799867	0.417635738
9130019P16Rik	0.95443507	7.32E-05
9130023H24Rik	-0.066620434	0.832705461
9130024F11Rik	-0.087856743	NA
9130204L05Rik	NA	NA
9130209A04Rik	NA	NA
9130230L23Rik	-0.355145257	0.322542297
